epoch,loss,accuracy,val_loss,val_accuracy
0,1.970625638961792,0.42142781615257263,0.9417762160301208,0.6969770789146423
1,0.5721859335899353,0.8326048254966736,0.34790366888046265,0.9061551690101624
2,0.23963752388954163,0.9445311427116394,0.15025942027568817,0.9740196466445923
3,0.10042357444763184,0.9861067533493042,0.07534407079219818,0.9917445778846741
4,0.04796691983938217,0.9962014555931091,0.038328006863594055,0.9985431432723999
5,0.023401493206620216,0.9992194771766663,0.02125774882733822,0.9991501569747925
6,0.01359625905752182,0.9998959302902222,0.014166133478283882,0.9993929862976074
7,0.008729662746191025,0.9999479651451111,0.007662422955036163,1.0
8,0.006076347548514605,1.0,0.004969325847923756,0.9998785853385925
9,0.0039354595355689526,1.0,0.0038069894071668386,0.9998785853385925
10,0.002931115683168173,1.0,0.002772692358121276,0.9998785853385925
11,0.0020492207258939743,1.0,0.001975760795176029,1.0
12,0.003514034440740943,0.9994796514511108,0.013316936790943146,0.9976933598518372
13,0.019600296393036842,0.9951607584953308,0.0018827830208465457,1.0
14,0.0011413710890337825,1.0,0.0011436062632128596,1.0
15,0.0008005861309356987,1.0,0.0009544591302983463,1.0
16,0.0006395743694156408,1.0,0.0007740228320471942,1.0
17,0.0005070983315818012,1.0,0.0007009687251411378,1.0
18,0.0004162557306699455,1.0,0.0005849951412528753,1.0
19,0.00034434747067280114,1.0,0.0004671747446991503,1.0
20,0.0003077722794841975,1.0,0.0008483757264912128,0.9998785853385925
21,0.0003878918942064047,1.0,0.00043144539813511074,1.0
22,0.0002286782255396247,1.0,0.00036875955993309617,1.0
23,0.00017806356481742114,1.0,0.0002832852478604764,1.0
24,0.00015170738333836198,1.0,0.00025748368352651596,1.0
25,0.0001282463490497321,1.0,0.00026122666895389557,1.0
26,0.00011654102854663506,1.0,0.00018717131752055138,1.0
27,9.119713649852201e-05,1.0,0.00021995673887431622,1.0
28,0.03615310415625572,0.9906337857246399,0.0033494015224277973,0.9997571706771851
29,0.0009869023924693465,1.0,0.0009254246833734214,1.0
30,0.0004544573603197932,1.0,0.000548407668247819,1.0
31,0.0003044778131879866,1.0,0.0003922722826246172,1.0
32,0.00023137536481954157,1.0,0.0003310531028546393,1.0
33,0.00018434163939673454,1.0,0.00025570602156221867,1.0
34,0.00015231253928504884,1.0,0.00023102825798559934,1.0
35,0.00012711876479443163,1.0,0.00018555749556981027,1.0
36,0.00010881113848881796,1.0,0.00016365978808607906,1.0
37,9.437755943508819e-05,1.0,0.00014562845171894878,1.0
38,8.189545042114332e-05,1.0,0.0001272284862352535,1.0
39,7.062625809339806e-05,1.0,0.00012592248094733804,1.0
40,6.015759936417453e-05,1.0,0.00010121741070179269,1.0
41,5.202027386985719e-05,1.0,9.114725980907679e-05,1.0
42,4.533394894679077e-05,1.0,8.3205770351924e-05,1.0
43,3.9407488657161593e-05,1.0,6.7381770350039e-05,1.0
44,3.401795765967108e-05,1.0,7.993715553311631e-05,1.0
45,2.9771164918201976e-05,1.0,5.389978832681663e-05,1.0
46,2.683156526472885e-05,1.0,4.777034337166697e-05,1.0
47,2.3321623302763328e-05,1.0,4.416616138769314e-05,1.0
48,0.008643634617328644,0.9970340132713318,0.14078021049499512,0.9474323391914368
49,0.01580444909632206,0.9951607584953308,0.00045593167305924,1.0
50,0.00021507151541300118,1.0,0.00046837193076498806,1.0
51,0.00012417565449140966,1.0,0.00017496419604867697,1.0
52,8.44271999085322e-05,1.0,0.0001515939220553264,1.0
53,7.085439574439079e-05,1.0,0.0001340363232884556,1.0
54,5.889585372642614e-05,1.0,0.00011084933066740632,1.0
55,5.070345650892705e-05,1.0,0.00011285204527666792,1.0
56,4.4458072807174176e-05,1.0,9.434286766918376e-05,1.0
57,3.87337313441094e-05,1.0,8.766486280364916e-05,1.0
58,3.3898570109158754e-05,1.0,7.34481291146949e-05,1.0
59,3.058979200432077e-05,1.0,6.755399226676673e-05,1.0
60,2.703835525608156e-05,1.0,6.690625014016405e-05,1.0
61,2.4682116418262012e-05,1.0,5.995160245220177e-05,1.0
62,2.1794496205984615e-05,1.0,5.506194065674208e-05,1.0
63,1.8979833839694038e-05,1.0,5.5831678764661774e-05,1.0
64,1.7777219909476116e-05,1.0,4.9185742682311684e-05,1.0
65,1.575688656885177e-05,1.0,4.250941128702834e-05,1.0
66,1.408462139806943e-05,1.0,4.15525100834202e-05,1.0
67,1.2777592019119766e-05,1.0,3.5224198654759675e-05,1.0
68,1.1305171028652694e-05,1.0,3.5856854083249345e-05,1.0
69,1.0131970157090109e-05,1.0,3.198437480023131e-05,1.0
70,9.027994565258268e-06,1.0,2.6767005692818202e-05,1.0
71,8.155956493283156e-06,1.0,2.8411493985913694e-05,1.0
72,7.799302693456411e-06,1.0,2.3637787307961844e-05,1.0
73,7.3649612204462755e-06,1.0,2.126853541994933e-05,1.0
74,5.951682396698743e-06,1.0,2.4020651835598983e-05,1.0
75,5.142903319210745e-06,1.0,1.7927141016116366e-05,1.0
76,4.454569989320589e-06,1.0,1.9373404938960448e-05,1.0
77,3.9557462514494546e-06,1.0,1.8165444998885505e-05,1.0
78,3.397913360458915e-06,1.0,1.6182317267521285e-05,1.0
79,3.1070508157426957e-06,1.0,1.3208157724875491e-05,1.0
80,2.6874431569012813e-06,1.0,1.2609861187229399e-05,1.0
81,2.2915194222150603e-06,1.0,1.0602758266031742e-05,1.0
82,2.1125947569089476e-06,1.0,9.655627764004748e-06,1.0
83,1.8339940197620308e-06,1.0,9.65490562521154e-06,1.0
84,1.584937194820668e-06,1.0,7.074233508319594e-06,1.0
85,0.03031286410987377,0.9922989010810852,0.016285525634884834,0.9944154620170593
86,0.0024575339630246162,0.9994276165962219,0.00038737381692044437,1.0
87,0.00014190806541591883,1.0,0.00032308665686286986,1.0
88,9.337240044260398e-05,1.0,0.00021488251513801515,1.0
89,6.839819980086759e-05,1.0,0.00016778669669292867,1.0
90,5.4403662943514064e-05,1.0,0.00016361936286557466,1.0
91,4.43265016656369e-05,1.0,0.00013279628183227032,1.0
92,3.7183996028034016e-05,1.0,0.0001267052284674719,1.0
93,3.220074358978309e-05,1.0,9.784410940483212e-05,1.0
94,2.7496154871187173e-05,1.0,8.732196147320792e-05,1.0
95,2.36177584156394e-05,1.0,7.58754467824474e-05,1.0
96,2.0720301108667627e-05,1.0,6.894508987898007e-05,1.0
97,1.7991669665207155e-05,1.0,5.88961411267519e-05,1.0
98,1.6237952877418138e-05,1.0,5.7283312344225124e-05,1.0
99,1.4003365322423633e-05,1.0,5.2844174206256866e-05,1.0
